time;EDA.raw;ECG.raw
2.226.467;278;528
2.228.654;278;528
223.086;278;528
2.233.086;278;528
2.236.011;278;528
2.237.814;278;528
2.239.754;278;528
2.241.981;278;528
2.244.182;278;528
2.246.427;278;528
2.248.671;278;528
2.250.869;278;528
2.253.099;278;528
2.255.315;276;523
2.257.554;276;523
2.259.755;276;523
2.261.991;276;523
2.264.197;276;523
226.715;276;523
226.874;276;523
2.270.848;276;523
2.273.073;276;523
2.275.279;276;523
227.896;276;523
228.068;276;523
2.282.355;276;523
2.284.163;276;523
2.286.381;276;492
2.288.622;276;492
2.290.836;276;492
2.293.058;276;492
2.295.255;276;492
2.297.493;276;492
2.300.365;276;492
2.302.069;276;492
2.304.171;276;492
2.306.376;276;492
2.308.596;276;492
231.082;276;492
2.313.041;276;492
2.315.273;277;519
2.317.485;277;519
2.319.732;277;519
2.321.919;277;519
2.324.138;277;519
2.326.371;277;519
2.328.594;277;519
2.331.183;277;519
2.333.031;277;519
2.335.249;277;519
2.337.478;277;519
23.397;277;519
2.341.925;277;519
2.344.145;277;519
2.346.362;277;519
2.348.587;277;519
2.350.803;277;519
2.353.034;277;519
235.524;277;519
2.357.464;277;519
2.359.702;277;539
236.191;277;539
2.364.136;277;539
2.366.354;277;539
2.368.573;277;539
2.370.788;277;539
2.373.022;277;539
2.375.252;277;539
2.378.111;277;539
237.975;277;539
2.381.924;277;539
2.384.131;277;539
2.386.405;277;539
2.388.616;277;521
2.390.853;276;483
2.393.423;276;483
2.395.275;276;483
2.397.502;276;483
2.399.727;276;483
2.401.946;276;483
240.417;276;483
2.406.395;276;483
2.408.612;276;483
2.410.853;276;483
2.413.067;276;483
2.415.277;276;483
2.417.527;276;483
2.419.717;276;483
242.195;274;512
2.424.821;274;512
2.426.583;274;512
24.286;274;512
2.430.829;274;512
2.433.048;274;512
2.435.259;274;512
2.437.504;274;512
2.439.717;274;512
2.441.942;274;512
2.444.162;274;512
2.446.384;274;512
2.448.609;274;512
245.083;273;514
2.453.074;273;514
245.576;273;514
2.457.495;273;514
2.459.727;273;514
2.461.926;273;514
2.464.148;273;514
2.466.393;273;514
2.468.632;273;514
2.470.837;273;514
2.473.038;273;514
2.475.266;273;514
247.748;273;514
2.479.705;271;531
2.481.959;271;531
2.484.145;271;531
2.486.965;271;531
2.488.581;271;531
2.490.813;271;531
2.493.052;271;531
2.495.246;271;531
2.497.507;271;531
2.499.759;271;531
250.199;271;531
2.504.197;271;531
2.506.437;271;531
2.508.639;271;531
2.510.854;271;495
2.513.087;271;495
2.515.309;271;495
2.517.949;271;495
2.519.759;271;495
2.521.953;271;495
2.524.183;271;495
2.526.408;271;495
2.528.647;271;495
2.530.862;271;495
2.533.087;271;495
2.535.287;271;495
2.537.517;271;495
2.539.743;270;505
2.541.957;270;505
2.544.176;270;505
2.546.406;270;505
2.549.247;270;505
2.550.993;270;505
2.553.037;270;505
2.555.253;270;505
2.557.475;270;505
2.559.684;270;505
2.561.911;270;505
2.564.143;270;505
256.635;270;505
2.568.578;270;505
2.570.795;270;505
2.573.009;270;505
2.575.231;270;505
2.578.836;270;505
2.580.493;270;505
2.582.154;270;505
2.584.033;270;505
2.586.244;269;607
2.588.492;269;607
2.590.709;269;607
2.592.916;269;607
2.595.163;269;607
2.597.866;269;607
2.599.661;269;607
2.601.825;269;607
2.604.049;269;607
2.606.239;269;607
2.608.461;269;607
2.610.692;269;607
2.612.905;269;607
261.514;268;494
2.617.357;268;494
2.619.582;268;494
2.621.795;268;494
2.624.031;268;494
2.626.228;268;494
2.628.875;268;494
2.630.691;268;494
2.632.903;268;494
2.635.121;268;494
2.637.336;268;494
2.639.565;268;494
2.641.809;268;494
264.399;267;496
2.646.241;267;496
2.648.454;267;496
2.650.671;267;496
265.288;267;496
2.655.114;267;496
2.657.359;267;496
2.660.058;267;496
2.661.777;267;496
2.663.991;267;496
2.666.227;267;496
2.668.446;267;496
2.670.663;267;496
2.672.888;267;496
2.675.096;267;496
2.677.323;267;505
2.679.559;267;505
2.681.787;267;505
2.684.038;267;505
2.686.304;267;505
2.688.612;267;505
2.691.716;267;505
2.693.624;267;505
2.695.295;267;505
2.697.321;267;505
2.699.544;267;505
2.701.765;267;505
2.703.984;266;508
2.706.193;266;508
2.708.444;266;508
2.710.654;266;508
271.287;266;508
2.715.085;266;508
2.717.308;266;508
2.719.545;266;508
2.722.478;266;508
2.724.409;266;508
2.726.176;266;508
2.728.439;266;508
2.730.633;266;508
2.732.856;266;508
2.735.081;265;507
2.738.035;265;507
2.739.767;265;507
2.741.741;265;507
2.743.965;265;507
2.746.172;265;507
2.748.412;265;507
2.750.617;265;507
2.752.861;265;507
2.755.091;265;507
2.757.284;265;507
2.759.497;265;507
2.761.734;265;507
2.763.937;265;507
2.766.167;264;522
2.768.407;264;522
2.770.607;264;522
2.772.838;264;522
2.775.076;264;522
2.777.287;264;522
277.951;264;522
2.781.743;264;522
278.447;264;522
278.621;264;522
2.788.396;264;522
2.790.619;264;522
2.792.813;264;522
2.795.064;263;483
2.797.287;263;483
2.800.089;263;483
2.801.789;263;483
2.803.938;263;483
2.806.169;263;483
2.808.375;263;483
2.810.601;263;483
2.812.909;263;483
2.815.103;263;483
2.817.368;263;483
2.819.597;263;483
2.821.844;263;483
2.824.066;263;483
2.826.327;263;483
2.828.532;263;483
2.830.728;263;483
283.296;263;483
2.835.163;263;483
2.837.368;263;483
2.839.597;263;503
2.841.839;263;503
284.406;263;503
2.846.742;263;503
2.848.502;263;503
2.850.702;263;503
2.852.913;263;503
2.855.146;263;503
2.857.392;263;503
2.859.593;263;503
286.181;263;503
2.864.033;263;503
2.866.251;263;503
2.868.465;263;503
2.870.712;262;494
2.872.927;262;494
2.875.168;262;494
2.878.071;262;494
2.879.767;262;494
2.881.762;262;494
2.883.981;262;494
28.862;262;494
2.888.425;262;494
2.890.652;262;494
2.892.852;262;494
2.895.087;262;494
2.897.297;262;494
2.899.528;261;498
2.901.747;261;498
2.903.965;261;498
2.906.192;261;498
2.908.688;261;498
2.910.648;261;498
2.912.864;261;498
2.915.073;261;498
2.917.289;261;498
2.919.525;261;498
2.921.758;261;498
2.923.959;261;498
2.926.171;261;498
2.928.401;261;498
2.930.654;259;519
2.932.843;259;519
2.935.081;259;519
2.937.291;259;519
2.940.088;259;519
294.189;259;519
2.943.941;259;519
2.946.168;259;519
2.948.392;259;519
2.950.652;259;519
2.952.881;259;519
295.512;259;519
2.957.354;259;519
2.959.558;259;525
2.961.788;259;525
2.964.011;259;525
2.966.237;259;525
2.968.456;259;525
2.971.341;259;525
2.972.963;259;525
2.975.018;259;525
2.977.242;259;525
2.979.451;259;525
298.168;259;525
2.983.896;259;525
2.986.138;259;525
2.988.339;259;525
2.990.554;259;525
2.992.788;258;511
29.95;258;511
2.997.216;258;511
2.999.446;258;511
300.216;258;511
3.003.881;258;511
3.006.122;258;511
3.008.349;258;511
3.010.542;258;511
3.012.772;258;511
3.015.002;258;511
3.017.203;258;511
301.944;258;511
3.021.701;257;505
30.239;257;505
30.261;257;505
3.028.348;257;505
3.030.568;257;505
3.033.591;257;505
3.035.293;257;505
3.037.159;257;505
3.039.388;257;505
3.041.605;257;505
304.383;257;505
3.046.055;257;505
3.048.274;257;505
3.050.492;257;505
3.052.704;257;505
3.054.923;257;505
305.716;257;505
3.059.375;257;505
3.061.597;257;505
3.063.848;257;505
3.066.046;256;515
3.068.272;256;515
3.070.486;256;515
3.072.703;256;515
3.074.914;256;515
3.077.155;256;515
3.079.796;256;515
3.081.578;256;515
3.083.795;256;515
3.086.036;256;515
3.088.268;256;515
3.090.474;256;515
3.092.702;256;515
3.094.897;256;515
3.097.149;255;482
3.099.365;255;482
3.101.574;255;482
310.381;255;482
3.106.023;255;482
3.108.248;255;482
3.111.066;255;482
3.112.677;255;482
3.114.952;255;482
3.117.196;255;482
3.119.447;255;482
3.121.693;255;482
3.123.923;254;474
3.126.124;254;496
3.128.372;254;496
3.130.572;254;496
3.132.794;254;496
3.135.004;254;496
3.137.222;254;496
3.139.484;254;496
3.142.338;254;496
3.143.941;254;496
3.146.062;254;496
3.148.281;254;496
3.152.182;254;496
3.153.905;254;512
3.155.595;254;511
3.158.186;254;511
3.159.765;254;511
3.161.547;254;511
3.163.774;254;511
3.165.993;254;511
3.168.203;254;511
3.170.446;254;511
3.172.671;254;511
3.174.873;254;511
3.177.094;254;511
